"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"1",1,0,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"2",1,1,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"9",1,2,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"10",1,3,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"11",1,4,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"12",1,5,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"13",1,6,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"14",1,7,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"15",1,8,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"16",1,9,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"3",1,10,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"4",1,11,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"5",1,12,0,0,127,266,1,0,1,0,4.85203026391962,0,0,1.2648528417038,0
"6",1,13,30,139,127,266,1,30,0.765625,0.267062785249045,4.85203026391962,0.0550414508406845,0.236220472440945,1.2648528417038,0.0696193355073397
"7",1,14,97,139,127,266,1,127,0.0078125,4.58496747867057,4.85203026391962,0.944958549159315,0.763779527559055,1.2648528417038,1.19523350619646
"8",1,15,0,0,127,266,1,127,0.0078125,0,4.85203026391962,0,0,1.2648528417038,0
"177",2,0,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"178",2,1,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"185",2,2,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"186",2,3,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"187",2,4,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"188",2,5,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"189",2,6,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"190",2,7,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"191",2,8,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"192",2,9,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"179",2,10,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"180",2,11,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"181",2,12,0,0,262,265,1,0,1,0,5.57215403217776,0,0,7.05154621533333,0
"182",2,13,73,3,262,265,1,73,0.722433460076046,0.325129960017278,5.57215403217776,0.0583490618062128,0.278625954198473,7.05154621533333,0.411451105947851
"183",2,14,189,3,262,265,1,262,0.00380228136882129,5.24702407216049,5.57215403217776,0.941650938193787,0.721374045801527,7.05154621533333,6.64009510938548
"184",2,15,0,0,262,265,1,262,0.00380228136882129,0,5.57215403217776,0,0,7.05154621533333,0
"353",3,0,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"354",3,1,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"361",3,2,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"362",3,3,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"363",3,4,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"364",3,5,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"365",3,6,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"366",3,7,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"367",3,8,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"368",3,9,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"355",3,10,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"356",3,11,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"357",3,12,0,0,230,265,1,0,1,0,5.44241771052179,0,0,3.82146356037837,0
"358",3,13,1,35,230,265,1,1,0.995670995670996,0.00433840159859814,5.44241771052179,0.000797146016596766,0.00434782608695652,3.82146356037837,0.00304626445472531
"359",3,14,179,35,230,265,1,180,0.220779220779221,1.50625367619887,5.44241771052179,0.276761865096617,0.778260869565217,3.82146356037837,1.05763538236907
"360",3,15,50,35,230,265,1,230,0.00432900432900433,3.93182563272433,5.44241771052179,0.722440988886787,0.217391304347826,3.82146356037837,2.76078191355457
"529",4,0,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"530",4,1,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"537",4,2,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"538",4,3,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"539",4,4,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"540",4,5,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"541",4,6,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"542",4,7,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"543",4,8,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"544",4,9,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"531",4,10,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"532",4,11,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"533",4,12,0,0,232,265,1,0,1,0,5.4510384535657,0,0,3.92419720048555,0
"534",4,13,190,33,232,265,1,190,0.184549356223176,1.68983833787214,5.4510384535657,0.310003011768659,0.818965517241379,3.92419720048555,1.21651295092466
"535",4,14,2,33,232,265,1,192,0.175965665236052,0.0476280489892547,5.4510384535657,0.0087374267114369,0.00862068965517241,3.92419720048555,0.0342873854404683
